model,dataset,status,mae,rmse,mape,metric_convention,server,primary_artifact,runtime_seconds,peak_gpu_memory_mb,notes
STID,SD,DONE,17.7999,30.9125,0.1184,BasicTS overall test_metrics.json,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/BasicTS/checkpoints/STID/SD_100_12_12_cd001_stid_sd_2019_s2023_retry/3370c6b0105fff7ae63fb65dc0b510c9/test_metrics.json,1201,1015,seed 2023; profile tag STID_SD
STID,GLA,DONE,19.5705,33.5828,0.1217,BasicTS overall test_metrics.json,183.174.228.180,/home/yuzhang_fei/code/SpatialTemporalGraph/BasicTS/checkpoints/STID/GLA_100_12_12/f98dce2691ccacf6ab61944541898d20/test_metrics.json,12365,17527,seed 2023; profile tag STID_GLA
STID,GBA,DONE,20.1669,34.5046,0.1596,BasicTS overall test_metrics.json,183.174.228.180,/home/yuzhang_fei/code/SpatialTemporalGraph/BasicTS/checkpoints/STID/GBA_100_12_12/8512bfd98d9d64469b1cbf9f14168755/test_metrics.json,11585,16359,seed 2023; profile tag STID_GBA
PatchSTG,SD,DONE,16.6601,28.8548,0.1080,framework TEST MODE average,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/PatchSTG/log/cd001_patchstg_sd_full_g1.log,4310.8,,summed 50 logged epoch times; best epoch 44; padded nodes 1024
PatchSTG,GLA,DONE,19.3580,33.0774,0.1152,framework TEST MODE average,183.174.228.180,/home/yuzhang_fei/code/SpatialTemporalGraph/PatchSTG/log/cd001_patchstg_gla_full_g0.log,19462.1,,summed 50 logged epoch times; best epoch 43; padded nodes 4096
PatchSTG,GBA,DONE,19.8441,33.8339,0.1493,framework TEST MODE average,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/PatchSTG/log/cd001_patchstg_gba_full_g0.log,27172.5,,summed 50 logged epoch times; best epoch 50; padded nodes 4096
BiST,SD,DONE,16.6520,28.0990,0.1161,framework Average Test log,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/LargeST/experiments/BiST/SD/logs/cd001_bist_sd_full_g1.log,1964,,wall seconds from first timestamp to Average Test; early stop epoch 53
BiST,GLA,DONE,19.9555,32.6986,0.1224,framework Average Test log,183.174.228.180,/home/yuzhang_fei/code/SpatialTemporalGraph/LargeST/experiments/BiST/GLA/logs/cd001_bist_gla_full_g0.log,29410,,wall seconds from first timestamp to Average Test; early stop epoch 120
BiST,GBA,DONE,19.8548,32.9439,0.1526,framework Average Test log,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/LargeST/experiments/BiST/GBA/logs/cd001_bist_gba_full_g0.log,7499,,wall seconds from first timestamp to Average Test; early stop epoch 57
MAGE,SD,DONE,16.3710,28.2346,0.1093,framework Average Test log,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/references/mage_official/experiments/mage/sd/cd001_mage_sd_full_g1_fix1.outer.log,8019,,wall seconds from first timestamp to Average Test; Time Cost 8004.36s; early stop epoch 175
MAGE,GLA,RUNNING,,,,framework Average Test log expected,183.174.228.180,/home/yuzhang_fei/code/SpatialTemporalGraph/references/mage_official/experiments/mage/gla/cd001_mage_gla_full_g1_fix1.outer.log,,28638,current memory at 2026-06-24 12:05 CST; latest complete epoch 61 at 12:03:28 CST; no Average Test yet
MAGE,GBA,DONE,19.7808,33.1533,0.1555,framework Average Test log,183.174.228.178,/home/yuzhang_fei/code/SpatialTemporalGraph/references/mage_official/experiments/mage/gba/cd001_mage_gba_full_g0_fix1.outer.log,50351,,wall seconds from first timestamp to Average Test; Time Cost 50298.64s; early stop epoch 138
